2011-04-23;KL1262;Nice / Nice Cote D'Azur (NCE/LFMN);Amsterdam / Schiphol (AMS/EHAM);11:30:00;13:25:00;01:55:00;KLM Royal Dutch Airlines (KL/KLM);Embraer ERJ-190 (E190);PH-EZR;;1;1;1;2027;122;440;655
2011-04-23;KL1203;Amsterdam / Schiphol (AMS/EHAM);Stavanger / Sola (SVG/ENZV);15:00:00;16:40:00;01:40:00;KLM Royal Dutch Airlines (KL/KLM);Boeing 737-300 (B733);PH-BDT;;1;1;1;122;2809;440;226
2011-07-07;SK4016;Stavanger / Sola (SVG/ENZV);Oslo / Gardermoen (OSL/ENGM);10:20:00;11:15:00;00:55:00;Scandinavian Airlines (SK/SAS);Boeing 737-700 (B737);LN-RPK;18A;1;1;1;2809;2219;677;230
2011-07-07;TP507;Oslo / Gardermoen (OSL/ENGM);Lisbon / Portela (LIS/LPPT);15:00:00;18:00:00;04:00:00;TAP Air Portugal (TP/TAP);Airbus A320-200 (A320);CS-TNG;;1;1;1;2219;1632;753;2059
2011-07-21;TP504;Lisbon / Portela (LIS/LPPT);Copenhagen / Kastrup (CPH/EKCH);09:00:00;13:25:00;03:25:00;TAP Air Portugal (TP/TAP);Airbus A319-100 (A319);CS-TTB;;1;1;1;1632;606;753;2073
2011-07-21;SK1874;Copenhagen / Kastrup (CPH/EKCH);Stavanger / Sola (SVG/ENZV);16:25:00;17:40:00;01:15:00;Scandinavian Airlines (SK/SAS);McDonnell Douglas MD-82 (MD82);SE-DIP;;1;1;1;606;2809;677;1186
2014-06-30;WF433;Stavanger / Sola (SVG/ENZV);Torp / Sandefjord (TRF/ENTO);07:35:00;08:20:00;00:45:00;Wideroe (WF/WIF);Bombardier Dash 8-400 (DH8D);LN-WDH;17A;1;1;1;2809;3005;832;610
2014-06-30;WF408;Torp / Sandefjord (TRF/ENTO);Bergen / Flesland (BGO/ENBR);10:15:00;11:10:00;00:55:00;Wideroe (WF/WIF);Bombardier Dash 8-400 (DH8D);LN-WDG;2D;1;4;1;3005;289;832;610
2014-06-30;WF616;Bergen / Flesland (BGO/ENBR);Tromso / Tromso (TOS/ENTC);12:40:00;15:00:00;02:20:00;Wideroe (WF/WIF);Bombardier Dash 8-400 (DH8D);LN-WDG;2D;1;4;1;289;2989;832;610
2014-07-01;WF932;Tromso / Tromso (TOS/ENTC);Sorkjosen / Sorkjosen (SOJ/ENSR);10:30:00;11:00:00;00:30:00;Wideroe (WF/WIF);Bombardier Dash 8-100 (DH8A);LN-WIP;4D;1;1;1;2989;2740;832;607
2014-07-01;WF932;Sorkjosen / Sorkjosen (SOJ/ENSR);Hammerfest / Hammerfest (HFT/ENHF);11:15:00;11:45:00;00:30:00;Wideroe (WF/WIF);Bombardier Dash 8-100 (DH8A);LN-WIP;3A;1;1;1;2740;1119;832;607
2014-07-01;WF932;Hammerfest / Hammerfest (HFT/ENHF);Mehamn / Mehamn (MEH/ENMR);12:00:00;12:35:00;00:35:00;Wideroe (WF/WIF);Bombardier Dash 8-100 (DH8A);LN-WIP;3A;1;1;1;1119;4013;832;607
2014-07-01;WF932;Mehamn / Mehamn (MEH/ENMR);Berlevag / Berlevaag (BVG/ENBV);12:50:00;13:05:00;00:15:00;Wideroe (WF/WIF);Bombardier Dash 8-100 (DH8A);LN-WIP;3A;1;1;1;4013;447;832;607
2014-07-01;WF932;Berlevag / Berlevaag (BVG/ENBV);Vadso / Vadso (VDS/ENVD);13:20:00;13:45:00;00:25:00;Wideroe (WF/WIF);Bombardier Dash 8-100 (DH8A);LN-WIP;3A;1;1;1;447;3159;832;607
2014-07-01;WF937;Vadso / Vadso (VDS/ENVD);Batsfjord / Batsfjord (BJF/ENBS);16:50:00;17:10:00;00:20:00;Wideroe (WF/WIF);Bombardier Dash 8-100 (DH8A);LN-WIF;10D;1;1;1;3159;319;832;607
2014-07-01;WF937;Batsfjord / Batsfjord (BJF/ENBS);Mehamn / Mehamn (MEH/ENMR);17:25:00;17:50:00;00:25:00;Wideroe (WF/WIF);Bombardier Dash 8-100 (DH8A);LN-WIF;10D;1;1;1;319;4013;832;607
2014-07-01;WF937;Mehamn / Mehamn (MEH/ENMR);Honningsvag / Valan (HVG/ENHV);18:05:00;18:25:00;00:20:00;Wideroe (WF/WIF);Bombardier Dash 8-100 (DH8A);LN-WIF;10D;1;1;1;4013;1195;832;607
2014-07-01;WF937;Honningsvag / Valan (HVG/ENHV);Hammerfest / Hammerfest (HFT/ENHF);18:40:00;19:05:00;00:25:00;Wideroe (WF/WIF);Bombardier Dash 8-100 (DH8A);LN-WIF;10D;1;1;1;1195;1119;832;607
2014-07-01;WF937;Hammerfest / Hammerfest (HFT/ENHF);Sorkjosen / Sorkjosen (SOJ/ENSR);19:20:00;19:50:00;00:30:00;Wideroe (WF/WIF);Bombardier Dash 8-100 (DH8A);LN-WIF;10D;1;1;1;1119;2740;832;607
2014-07-01;WF937;Sorkjosen / Sorkjosen (SOJ/ENSR);Tromso / Tromso (TOS/ENTC);20:05:00;20:30:00;00:25:00;Wideroe (WF/WIF);Bombardier Dash 8-100 (DH8A);LN-WIF;10D;1;1;1;2740;2989;832;607
2014-07-02;WF516;Bergen / Flesland (BGO/ENBR);Molde / Molde (MOL/ENML);17:40:00;18:30:00;00:50:00;Wideroe (WF/WIF);Bombardier Dash 8-400 (DH8D);LN-WDG;4D;1;4;1;289;1908;832;610
2014-07-02;WF517;Molde / Molde (MOL/ENML);Bergen / Flesland (BGO/ENBR);18:55:00;19:50:00;00:55:00;Wideroe (WF/WIF);Bombardier Dash 8-400 (DH8D);LN-WDG;18A;1;1;1;1908;289;832;610
2014-07-02;WF549;Bergen / Flesland (BGO/ENBR);Stavanger / Sola (SVG/ENZV);20:20:00;20:50:00;00:30:00;Wideroe (WF/WIF);Bombardier Dash 8-400 (DH8D);LN-WDG;06A;1;4;1;289;2809;832;610
2014-07-03;WF471;Stavanger / Sola (SVG/ENZV);Kristiansand / Kjevik (KRS/ENCN);15:20:00;16:00:00;00:40:00;Wideroe (WF/WIF);Bombardier Dash 8-300 (DH8C);LN-WFU;12A;1;4;1;2809;1494;832;609
2014-07-03;WF594;Kristiansand / Kjevik (KRS/ENCN);Bergen / Flesland (BGO/ENBR);16:25:00;17:25:00;01:00:00;Wideroe (WF/WIF);Bombardier Dash 8-300 (DH8C);LN-WFU;12D;1;1;1;1494;289;832;609
2014-07-03;WF507;Bergen / Flesland (BGO/ENBR);Haugesund / Karmoy (HAU/ENHD);18:50:00;19:20:00;00:30:00;Wideroe (WF/WIF);Bombardier Dash 8-300 (DH8C);LN-WFC;11A;1;4;1;289;1097;832;609
2014-07-02;WF463;Tromso / Tromso (TOS/ENTC);Bodo / Bodo (BOO/ENBO);08:55:00;09:50:00;00:55:00;Wideroe (WF/WIF);Bombardier Dash 8-400 (DH8D);LN-RDZ;18D;1;1;1;2989;377;832;610
2014-07-02;WF806;Bodo / Bodo (BOO/ENBO);Leknes / Leknes (LKN/ENLK);11:00:00;11:25:00;00:25:00;Wideroe (WF/WIF);Bombardier Dash 8-100 (DH8A);LN-WIF;8D;1;1;1;377;1639;832;607
2014-07-02;WF807;Leknes / Leknes (LKN/ENLK);Bodo / Bodo (BOO/ENBO);11:40:00;12:05:00;00:25:00;Wideroe (WF/WIF);Bombardier Dash 8-100 (DH8A);LN-WIF;0C;1;1;1;1639;377;832;607
